Name,Amount,Payment Date,Payor,Payor City,Payor State,Payee,Payee City,Payee State,Description,Notice Received,LGC Purpose
"Chiang, John",5000,2011-01-22,Time Warner Cable,Chatsworth,CA,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,2/10/2011,Charitable
"Chiang, John",5000,2011-02-12,PricewaterhouseCoopers,Sacramento,CA,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,2/22/2011,Charitable
"Chiang, John",5000,2010-12-29,Peace Officers Research Association,Sacramento,CA,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,2/10/2011,Charitable
"Chiang, John",5000,2010-12-24,PACE CSEA,Sacramento,CA,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,2/10/2011,Charitable
"Chiang, John",5000,2011-03-11,Fidelity National Financial,Jacksonville,FL,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,3/30/2011,Charitable
"Chiang, John",5000,2011-01-07,CA State Council of Laborers,Sacramento,CA,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,2/10/2011,Charitable
"Chiang, John",5000,2010-12-29,CA Fire Foundation,Sacramento,CA,The Grace Initiative,Sacramento,CA,Sponsorship of breakfast reception to raise funds for statewide financial literacy education.,2/10/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-04-06,Zhone Technologies,Oakland,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/4/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-04-18,Zenith Insurance Company,Woodland Hills,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,5/17/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-01-14,Zenith Insurance Company,Woodland Hills,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,1/31/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-20,Yocha Dehe Wintun Nation,Brooks,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,6/20/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-02-25,Yocha Dehe Wintun Nation,Brooks,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-06-06,Wunderkinder Foundation,Los Angeles,CA,Oakland School for the Arts,Oakland,CA,This is a charitable donation to a charter school.,6/29/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-06,World Oil,South Gate,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",25000,2011-03-04,WKD Foundation,Los Angeles,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-02-22,William J Langelier,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-20,William & Inez Mable Foundation,San Francisco,CA,Oakland School for the Arts,Oakland,CA,This was a donation to a charter school.,6/20/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-10,Western United Dairymen,Modesto,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",10000,2011-01-28,Western Union,Englewood,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,2/25/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-04,Wells Fargo,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",10000,2011-02-25,Waste Management,Sacramento,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,3/23/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-24,Walter Robb,San Rafael,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-21,Walmart,Bentonville,AK,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",10000,2011-02-16,Walmart,San Francisco,CA,Oakland Military Institute,Oakland,CA,This is a charitable donation to a charter school.,3/15/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-07-26,Walmart,Bentonville,AR,Oakland Military Institute,Oakland,CA,This is a charitable donation to a charter school.,8/30/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-07-26,Walmart,Bentonville,AR,Oakland School for the Arts,Oakland,CA,This is a charitable donation to a charter school.,8/30/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-02-25,Walgreens,Sacramento,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-15,Walgreens,Deerfield,IL,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/8/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-10,VSP,Rancho Cordova,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",10000,2011-06-11,Verizon,Folsom,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,7/11/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-05-13,Valutech Outsourcing,Capistrano Beach,CA,Oakland School for the Arts,Oakland,CA,This is a monetary donation to a charter school.,6/13/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-03-04,Valutech Outsourcing,Capistrano Beach,CA,Oakland Military Institute,Oakland,CA,This was a donation to a charter school.,4/4/2011,Charitable
"Brown, Jr., Edumund G",25000,2011-03-31,UPS,Laguna Hills,CA,Oakland Military Institute,Oakland,CA,This is a donation to a charter school.,4/28/2011,Charitable
"Brown, Jr., Edumund G",5000,2011-01-14,UP Railroad Company,Omaha,NE,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-01-03,Universal City Studios,Universal City,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,1/31/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-02-23,Toyota,Torrance,CA,Governor's 2011 Inaugural Committee,Oakland,CA,Monetary Support for Inaugural Activities,3/7/2011,Governmental
"Brown, Jr., Edumund G",5000,2011-03-21,TomKat Foundation,San Francisco,CA,Oakland Military Institute,Oakland,CA,This was a charitable donation to a charter school.,4/19/2011,Charitable
